Model,Dice,IoU,Pixel Acc
U-Net,0.852016746895377,0.7632942410543387,0.9142924943260096
ViT,0.761594759113761,0.649737476923468,0.8625193377806986
Ensemble,0.8520939557635664,0.7645805031772321,0.9196766624336316
